202,202,197,201,208,203,148,139,114,148,139,114,80,92,90,0,0,0
198,202,198,199,204,200,147,138,114,147,138,114,80,90,90,0,0,0
201,206,203,206,208,208,147,139,113,147,139,113,79,91,89,0,0,0
254,108,164,255,112,173,142,134,111,145,178,87,100,74,87,10,0,0
254,101,154,255,107,162,135,134,104,138,184,75,99,75,86,10,0,0
253,103,142,255,108,139,142,134,109,145,180,86,99,75,86,10,0,0
254,131,218,255,136,233,142,128,104,147,171,87,103,72,83,20,0,0
254,136,217,255,151,235,141,128,103,147,170,88,103,72,85,20,0,0
254,134,218,255,136,243,139,128,101,145,173,84,100,69,87,20,0,0
254,130,229,255,132,228,139,122,102,148,158,89,109,63,87,50,0,0
254,122,214,255,127,227,137,122,98,146,160,79,110,64,90,50,0,0
254,122,215,255,127,227,137,123,99,145,166,81,109,63,89,50,0,0
254,140,197,255,141,200,136,113,97,145,150,83,123,50,88,100,0,0
254,149,212,255,149,216,135,114,95,147,149,83,121,52,88,100,0,0
254,72,110,255,73,113,136,113,97,147,149,84,123,53,89,100,0,0
254,137,95,255,135,98,89,63,44,89,63,44,132,44,84,200,0,0
254,123,91,255,122,93,90,62,45,90,62,45,136,46,82,200,0,0
254,135,88,255,136,90,87,60,41,87,60,41,138,44,81,200,0,0
202,202,197,201,208,203,148,139,114,148,139,114,80,92,90,0,0,0
198,202,198,199,204,200,147,138,114,147,138,114,80,90,90,0,0,0
201,206,203,206,208,208,147,139,113,147,139,113,79,91,89,0,0,0
60,190,100,65,187,106,117,124,89,127,169,63,75,95,72,0,10,0
59,191,99,64,195,96,112,124,87,122,168,58,84,92,84,0,10,0
68,208,111,69,215,113,110,124,84,120,168,57,84,92,81,0,10,0
95,215,129,95,218,132,118,124,89,128,170,61,88,90,82,0,20,0
104,223,143,115,227,148,118,124,90,128,168,67,86,91,83,0,20,0
100,217,136,102,221,141,118,124,87,128,168,59,85,90,85,0,20,0
0,249,111,0,255,119,81,112,60,92,156,31,69,112,77,0,50,0
0,248,100,0,255,107,82,111,62,91,156,36,68,114,76,0,50,0
0,246,90,0,255,99,88,110,64,97,156,41,70,111,77,0,50,0
0,237,81,0,245,81,62,100,50,65,141,23,61,123,74,0,100,0
0,242,88,0,253,103,68,100,49,69,132,25,64,123,72,0,100,0
0,243,89,0,254,103,60,99,50,63,133,20,64,119,72,0,100,0
0,246,65,0,248,66,51,73,33,51,73,33,64,116,72,0,200,0
0,242,62,0,245,62,48,70,30,48,70,30,63,115,77,0,200,0
0,229,52,0,235,51,51,70,28,51,70,28,63,115,77,0,200,0
202,202,197,201,208,203,148,139,114,148,139,114,80,92,90,0,0,0
198,202,198,199,204,200,147,138,114,147,138,114,80,90,90,0,0,0
201,206,203,206,208,208,147,139,113,147,139,113,79,91,89,0,0,0
0,237,252,0,255,255,83,106,80,93,149,47,51,100,106,0,0,10
0,237,253,0,255,255,82,106,79,89,149,46,51,103,103,0,0,10
0,237,253,0,255,255,79,105,75,85,149,40,53,103,103,0,0,10
0,181,236,0,204,255,79,107,79,78,149,39,53,103,106,0,0,20
0,191,245,0,213,255,80,108,80,78,149,39,52,101,104,0,0,20
0,193,247,0,207,255,79,106,82,79,148,48,53,99,103,0,0,20
0,157,244,0,161,255,62,97,75,73,141,43,36,111,111,0,0,50
0,151,220,0,143,216,57,98,72,69,143,30,37,109,116,0,0,50
0,166,203,0,166,215,60,97,75,72,139,27,23,111,111,0,0,50
0,127,253,0,127,255,35,78,66,43,124,18,21,110,123,0,0,100
0,114,204,0,116,205,33,77,64,39,124,12,22,110,128,0,0,100
0,130,226,0,128,255,35,77,66,41,124,15,22,114,123,0,0,100
0,242,254,0,243,255,34,54,43,34,54,43,19,114,126,0,0,200
0,245,254,0,246,255,32,52,41,32,52,41,19,112,124,0,0,200
0,235,254,0,249,255,51,92,66,51,92,66,19,116,124,0,0,200
0,0,0,0,0,0,77,114,87,82,142,33,0,128,128,000,000,000
138,143,136,172,183,178,208,211,194,198,201,170,10,20,30,240,230,220
148,153,148,183,194,188,208,211,194,198,201,170,12,32,43,21,23,43
