254,158,45,255,174,46,133,124,97,133,124,97,222,16,27,Pewarna Merah Backlight Merah,0
,,,,,,,,,,,,,,,,
4,250,43,0,255,45,130,124,96,130,124,96,42,161,61,Pewarna Merah Backlight Hijau,0
,,,,,,,,,,,,,,,,
96,133,253,96,142,255,131,123,94,131,123,94,22,54,185,Pewarna Merah Backlight Biru,0
,,,,,,,,,,,,,,,,
219,195,204,227,212,203,127,122,92,127,122,92,52,76,132,Pewarna Merah Backlight Putih,0
,,,,,,,,,,,,,,,,
254,113,0,255,121,0,124,100,77,124,100,77,229,15,26,Pewarna Merah Backlight Merah,5
,,,,,,,,,,,,,,,,
254,144,0,255,168,0,122,99,77,122,99,77,229,15,26,Pewarna Merah Backlight Hijau,5
,,,,,,,,,,,,,,,,
224,72,254,255,81,255,119,97,72,119,97,72,25,50,185,Pewarna Merah Backlight Biru,5
,,,,,,,,,,,,,,,,
224,72,254,255,81,255,119,97,72,119,97,72,67,54,137,Pewarna Merah Backlight Putih,5
,,,,,,,,,,,,,,,,
254,80,19,255,86,19,118,78,49,118,78,49,229,15,26,Pewarna Merah Backlight Merah,10
,,,,,,,,,,,,,,,,
254,55,0,255,59,0,117,78,49,117,78,49,153,68,34,Pewarna Merah Backlight Hijau,10
,,,,,,,,,,,,,,,,
254,46,10,255,47,12,112,76,47,112,76,47,80,36,138,Pewarna Merah Backlight Biru,10
,,,,,,,,,,,,,,,,
254,83,99,255,89,99,115,90,65,115,90,65,75,50,1,Pewarna Merah Backlight Putih,10
,,,,,,,,,,,,,,,,
254,141,37,255,149,40,141,103,78,141,103,78,227,14,24,Pewarna Merah Backlight Merah,25
,,,,,,,,,,,,,,,,
198,71,0,195,73,0,127,96,71,127,96,71,107,94,40,Pewarna Merah Backlight Hijau,25
,,,,,,,,,,,,,,,,
254,39,240,255,42,255,141,104,78,141,104,78,35,45,174,Pewarna Merah Backlight Biru,25
,,,,,,,,,,,,,,,,
